species,year,site_orig,site_clim,sex,year_period,sun_ground,sun_high_veg,partial_shade_low_veg,full_shade_ground,full_shade_high_veg
MB,2015,B1,B1,M,contemporary,NA,52.08697177561222,-96.58213442398281,NA,-66.5808658568305
MB,2015,B1,C1,M,contemporary,NA,32.56184007850113,-106.20187111811823,NA,-63.5723313505546
MB,2015,B1,D1,M,contemporary,26.413596830579447,-17.618278253039083,-48.183607360516646,-80.69658031690483,-17.196040062988956
MS,2015,B1,A1,M,contemporary,-74.07854278603757,58.6255966148939,-166.42377559650149,-146.36501490188778,-151.30768753206874
MS,2015,B1,B1,M,contemporary,NA,54.90563060433534,-101.23413776567145,NA,-70.63167656641897
MS,2015,B1,Eldo,M,contemporary,NA,52.72471717474329,-154.4020699388814,NA,-115.49490828325668
MB,2016,B1,A1,F,contemporary,-157.88272044895183,61.3608233559169,-180.76286473930003,-183.66719903954294,-124.71319620239365
MB,2016,B1,B1,F,contemporary,NA,60.38849262420779,-99.38870061907163,NA,-43.27394805873195
MB,2016,B1,C1,F,contemporary,NA,40.95643588548311,-120.37839757482298,NA,-51.70981611154098
MB,2016,B1,D1,F,contemporary,29.751334754894554,-13.343812097996889,-64.88588437572442,-121.38762909541452,-13.379191660195909
MS,2016,B1,A1,F,contemporary,-118.74235328505704,92.00614010361556,-240.09355984996068,-187.25320655868924,-174.16895345650508
MS,2016,B1,B1,F,contemporary,NA,85.97320206640912,-145.11234630301814,NA,-65.95350664508312
MS,2016,B1,Eldo,F,contemporary,NA,78.3008866512062,-242.1394910607066,NA,-167.08807221598803
MB,2016,B1,A1,M,contemporary,-148.01590749955628,57.52701715061037,-169.81181941083366,-172.32489714492388,-117.22295969160575
MB,2016,B1,B1,M,contemporary,NA,56.60969221067166,-93.4319403422308,NA,-40.66279046434177
MB,2016,B1,C1,M,contemporary,NA,38.35138775702953,-113.13471112888043,NA,-48.57709258415929
MB,2016,B1,D1,M,contemporary,27.852579112436,-12.489118836290992,-60.94925487958121,-114.0673954564427,-12.519903112462401
MS,2016,B1,A1,M,contemporary,-78.75690928462255,62.246985938997625,-163.7708038277637,-126.20241339690756,-119.18712879772144
MS,2016,B1,B1,M,contemporary,NA,58.07438088865917,-99.40037041361138,NA,-45.10383256477001
MS,2016,B1,Eldo,M,contemporary,NA,51.33396181897492,-165.46112688724548,NA,-114.33340684663266
MB,2017,B1,A1,F,contemporary,-147.89269463255147,55.772522996395494,-117.3456191205791,-144.7118180868332,-78.69845876284823
MB,2017,B1,B1,F,contemporary,NA,57.86534596357483,-31.148043205543043,NA,NA
MB,2017,B1,C1,F,contemporary,50.15039656161233,-21.22459177639367,-44.28468786855316,-67.39612504543929,-18.0295834846451
MB,2017,B1,D1,F,contemporary,33.65893265652082,-2.571064090808091,-19.37433150781241,-37.488652241863846,-0.36157916730523193
MS,2017,B1,A1,F,contemporary,-204.27766778894912,84.63902872530595,-164.47927922755704,-200.9131491492455,-112.33095783165687
MS,2017,B1,B1,F,contemporary,NA,84.16430322708462,-51.56960030283684,NA,NA
MS,2017,B1,Eldo,F,contemporary,NA,75.94942559744425,-157.75632775126957,NA,-100.95599648973138
MB,2017,B1,A1,M,contemporary,-138.98292507631487,52.28020708711788,-110.2956168139001,-136.0050839931967,-73.9722536582218
MB,2017,B1,B1,M,contemporary,NA,54.2448137498887,-29.277755422822878,NA,NA
MB,2017,B1,C1,M,contemporary,46.95266654460534,-19.97337113260609,-41.60440811432412,-63.328796878813144,-16.90920598024081
MB,2017,B1,D1,M,contemporary,31.52483691193815,-2.3622891819264513,-18.15943538032471,-35.191257993234295,-0.28633729267317515
MS,2017,B1,A1,M,contemporary,-139.64632233117746,57.23647784675728,-112.54858954513169,-137.4078997452853,-76.88476153477099
MS,2017,B1,B1,M,contemporary,NA,56.879932861248705,-35.33724454730712,NA,NA
MS,2017,B1,Eldo,M,contemporary,NA,50.72016254639628,-107.99474804538296,NA,-69.07745770625328
MB,2018,B1,A1,F,contemporary,-178.25180334848605,61.2464174219013,-167.08231108240707,-185.3727090691681,-137.7188957924953
MB,2018,B1,B1,F,contemporary,NA,56.615098193727604,-148.1367054168434,NA,-116.39752657956271
MB,2018,B1,C1,F,contemporary,NA,38.09556853058711,-114.20953842881562,NA,-78.30239708830281
MB,2018,B1,D1,F,contemporary,31.31999405190298,-39.715168893303144,-58.50959325317822,-76.51024346667899,-28.9065259876735
MS,2018,B1,A1,F,contemporary,-229.53405165181306,91.44352014505053,-228.47153539215876,-246.542841601335,-191.30043143246033
MS,2018,B1,B1,F,contemporary,NA,82.66484662119763,-207.71006980679223,NA,-164.28686969671708
MS,2018,B1,Eldo,F,contemporary,NA,76.78249050339582,-248.70987373749128,NA,-221.4941853265568
MB,2018,B1,A1,M,contemporary,-167.41466116474479,57.41919358497474,-156.9991271566064,-174.14154145546627,-129.4415978573045
MB,2018,B1,B1,M,contemporary,NA,53.070328104684485,-139.22019732291182,NA,-109.40022993839221
MB,2018,B1,C1,M,contemporary,NA,35.65849161630166,-107.33759821764104,NA,-73.57958970637748
MB,2018,B1,D1,M,contemporary,29.323122950402105,-37.285148968976905,-54.956473334566695,-71.88139095344445,-27.11814494896481
MS,2018,B1,A1,M,contemporary,-156.32175708239822,61.85804793977002,-156.08701710084705,-168.16865051634468,-130.87614832208098
MS,2018,B1,B1,M,contemporary,NA,55.858483927187734,-142.0512957443601,NA,-112.40147387408513
MS,2018,B1,Eldo,M,contemporary,NA,50.23899175216948,-169.78305840424764,NA,-151.45249633784948
MB,2019,B1,A1,F,contemporary,66.50054929844484,-113.95917523599789,-168.3942277725302,-193.1489458462095,-112.30131981076939
MB,2019,B1,B1,F,contemporary,66.85402795090064,-38.70885918121094,-81.5037553191208,-119.78134256826777,-37.93439137397484
MB,2019,B1,C1,F,contemporary,56.19947218730327,-22.81117184721665,-77.32648429443466,-130.09177363728136,-24.836916683086542
MB,2019,B1,D1,F,contemporary,30.007878669054648,11.53853720277489,-17.12902032867149,-57.25574877756892,5.761138532631254
MS,2019,B1,A1,F,contemporary,96.99234327842827,-160.2423914912149,-229.91499683446864,-242.62331986551405,-158.00906810990182
MS,2019,B1,B1,F,contemporary,87.38011238357826,-61.894887058788925,-119.51589968871252,-170.78906336070156,-58.80302627630212
MS,2019,B1,Eldo,F,contemporary,94.27612646701213,-64.19675384910246,-124.38433367923177,-177.9192501411509,-65.01394462246004
MB,2019,B1,A1,M,contemporary,62.349983586174375,-107.11731187494985,-158.2320681430559,-181.37896095294232,-105.55894445544726
MB,2019,B1,B1,M,contemporary,62.64754788039506,-36.385338872029436,-76.61723962062852,-112.58942716544215,-35.639602539340856
MB,2019,B1,C1,M,contemporary,52.638766028396255,-21.46261158868913,-72.66993518181255,-122.25893322667932,-23.30891299413246
MB,2019,B1,D1,M,contemporary,28.09530457891654,10.896919373097427,-16.046230969221895,-53.773938418537696,5.464349267006436
MS,2019,B1,A1,M,contemporary,65.60735255615772,-109.67512819866818,-157.07108277780966,-165.04641041359054,-108.14645314887295
