species,year,site_orig,site_clim,sex,year_period,sun_ground,sun_high_veg,partial_shade_low_veg,full_shade_ground,full_shade_high_veg
MB,2017,A1,A1,F,contemporary,-134.69165891007654,59.45419613111443,-120.49927462092995,-138.63868934139836,-88.86697867851356
MB,2017,A1,B1,F,contemporary,NA,56.449238667446544,-47.67491430030955,NA,NA
MB,2017,A1,C1,F,contemporary,51.59019682551793,-28.283418712501405,-54.55058617180112,-79.03111388548955,-22.126191966626806
MB,2017,A1,D1,F,contemporary,35.20140377807718,-3.465451330235798,-24.51043261155978,-46.3470342695624,0.894308052947265
MS,2017,A1,A1,F,contemporary,-206.65432183860523,78.27688783016673,-160.94627223894972,-200.63556265265646,-105.82976004348275
MS,2017,A1,B1,F,contemporary,NA,79.02425302429012,-43.32836184350829,NA,NA
MS,2017,A1,Eldo,F,contemporary,NA,69.74495716634951,-153.07297281090692,NA,-93.8209917170652
MB,2017,A1,A1,M,contemporary,-126.5154683379215,55.71853823210636,-113.24000142011748,-130.25254452406026,-83.53165227215378
MB,2017,A1,B1,M,contemporary,NA,52.881485356281594,-44.835501746949085,NA,NA
MB,2017,A1,C1,M,contemporary,48.27579478337581,-26.61932447109738,-51.260466774882225,-74.26934446897376,-20.758908172018966
MB,2017,A1,D1,M,contemporary,32.95688287558643,-3.197599186891539,-22.986175743481606,-43.52024198457455,0.9028291127144161
MS,2017,A1,A1,M,contemporary,-141.1870184048894,52.75684924886357,-110.03449605381454,-137.12115575528284,-72.34518557479257
MS,2017,A1,B1,M,contemporary,NA,53.242458031566926,-29.62506384042411,NA,NA
MS,2017,A1,Eldo,M,contemporary,NA,46.3137842967632,-104.69230756442329,NA,-64.10354180922295
MB,2018,A1,A1,F,contemporary,-123.49906289402468,63.071672354488825,-142.94402196338757,-141.90144095140565,-135.90894382929238
MB,2018,A1,B1,F,contemporary,NA,55.83284938066138,-141.7701182258352,NA,-123.36709927396778
MB,2018,A1,C1,F,contemporary,NA,41.49829677624086,-122.12237077154077,NA,-90.21371632095833
MB,2018,A1,D1,F,contemporary,32.13401225907025,-48.912890312915565,-70.44334619084937,-90.02541336833661,-34.86845231300229
MS,2018,A1,A1,F,contemporary,-240.10958019640557,85.12933629269797,-234.7432201918253,-257.02925333901743,-189.8457897378159
MS,2018,A1,B1,F,contemporary,NA,77.18134106763227,-208.3957128835539,NA,-158.63560415910763
MS,2018,A1,Eldo,F,contemporary,NA,70.35787664126059,-258.4891889289408,NA,-222.19254424926498
MB,2018,A1,A1,M,contemporary,-115.7964076629124,59.10730549402434,-134.22473387001475,-133.15022540631534,-127.70659591507356
MB,2018,A1,B1,M,contemporary,NA,52.30429487377743,-133.19006656501983,NA,-115.9380131597123
MB,2018,A1,C1,M,contemporary,NA,38.83717905470271,-114.76346573933029,NA,-84.77796601425689
