shade,height,total_net_gains,avg_gains,avg_losses,hours,species,year,site_orig,site_clim,sex,year_period,filepath
0.8,0.01,6.648043439221595,0.004199587961727589,0.001187334477712367,2207,MS,1950,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_B1.rds
0.8,0.15,3.7291087964337897,0.002812189892503655,0.0011225166725517789,2207,MS,1950,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_B1.rds
NA,NA,19.814291191500402,0.010621201729204768,0.0016432718735181334,2207,MS,1950,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_B1.rds
0,0.01,25.82553294603813,0.01372831488994074,0.0020266687884282204,2207,MS,1950,A1,Eldo,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_Eldo.rds
0,0.15,18.688567307838852,0.010131221540929146,0.00166336141050828,2207,MS,1950,A1,Eldo,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_Eldo.rds
0.3,0.03,19.35157357446019,0.010445836098214608,0.0016775653349793626,2207,MS,1950,A1,Eldo,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_Eldo.rds
0.8,0.01,12.431750343438468,0.0070590758532589615,0.0014262030198024741,2207,MS,1950,A1,Eldo,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_Eldo.rds
0.8,0.15,8.036357416179431,0.0049547485147326846,0.001313444746640509,2207,MS,1950,A1,Eldo,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_Eldo.rds
NA,NA,26.947065795210197,0.01414163414722902,0.0019318172939393973,2207,MS,1950,A1,Eldo,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_Eldo.rds
0,0.01,20.551953019450263,0.01145522839039113,0.002143061186290421,2207,MB,1950,A1,A1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_A1.rds
0,0.15,16.61146517658809,0.009252913697430212,0.0017261963541642,2207,MB,1950,A1,A1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_A1.rds
0.3,0.03,17.09069773903233,0.0094972182185335,0.0017533587989447688,2207,MB,1950,A1,A1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_A1.rds
0.8,0.01,12.468774400490496,0.007128518371808016,0.0014788697988626172,2207,MB,1950,A1,A1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_A1.rds
0.8,0.15,8.975139538611058,0.005415177938093424,0.0013485084597920837,2207,MB,1950,A1,A1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_A1.rds
NA,NA,20.613421906482323,0.01125693239233305,0.0019169134043483089,2207,MB,1950,A1,A1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_A1.rds
0,0.01,17.411769713922233,0.009670291806621273,0.0017809534677348964,2207,MB,1950,A1,B1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_B1.rds
