species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg,shade_NA_h_NA
MS,2020,B1,A1,F,contemporary,24.54262700742141,18.49247589236068,17.129686995261224,9.74733681269497,9.163456815559897,25.652830851250176
MS,2020,B1,B1,F,contemporary,19.585646388798104,13.831799673093055,12.817914856126468,6.889667607803589,6.2373763111028735,20.32184064465317
MS,2020,B1,Eldo,F,contemporary,28.75304005687396,23.426092032568953,21.660922264914767,13.385703658715057,13.216837014435546,29.70669399424699
MB,2020,B1,A1,M,contemporary,17.27883326566622,13.436904180346541,12.499318432610977,7.3646310530573285,7.0187232896388565,17.021045534423568
MB,2020,B1,B1,M,contemporary,13.992376480027707,10.238128972177606,9.518688462956671,5.26581074519126,4.836005305020551,13.853927929794573
MB,2020,B1,C1,M,contemporary,11.653381521406216,7.623847496473872,6.842039263917409,2.7728756762299542,2.361881749314485,11.56620388389797
MB,2020,B1,D1,M,contemporary,9.897237632711686,6.6035321599268935,5.821097175924816,2.208126254405516,1.9712958879481728,9.831893757394484
MS,2020,B1,A1,M,contemporary,15.011270436135527,11.118604661728835,10.256010361160778,5.529585018397512,5.1280894987038375,13.645286688460976
MS,2020,B1,B1,M,contemporary,11.856007782176269,8.146795900626458,7.507357445159122,3.7160970293889797,3.273761807246046,11.16208553622863
MS,2020,B1,Eldo,M,contemporary,17.674794672468614,14.25778881302025,13.137538258580365,7.837556531538698,7.701808182162197,15.643973973808727
MB,2021,B1,A1,F,contemporary,14.195673799912946,10.702037612642863,9.98367425874599,5.640530904183162,5.32803028051654,17.542222971687252
MB,2021,B1,B1,F,contemporary,11.50109336184175,8.107564784832057,7.5519549902307945,3.915601945298303,3.5578122082846786,12.453739519728524
MB,2021,B1,C1,F,contemporary,9.36681001740406,6.003364628777706,5.26428369822204,1.9550788553126714,1.6084215301989226,9.92216267705397
MB,2021,B1,D1,F,contemporary,8.379131678276748,5.448187144426922,4.647595085425009,1.514824791860324,1.314174145573038,8.866758654411479
MS,2021,B1,A1,F,contemporary,23.428241106692557,17.107074351458277,15.912190667700798,8.831941813816663,8.287384748210538,24.46597027141731
MS,2021,B1,B1,F,contemporary,18.650795648590112,12.800126114798939,11.897400115487379,6.153517419757793,5.586964136266018,19.337831035116537
MS,2021,B1,Eldo,F,contemporary,27.368587108885745,21.664673295030635,20.064353954977264,12.25726120841765,12.035201374568288,28.350779094358824
MB,2021,B1,A1,M,contemporary,16.528052441873278,12.53603446561306,11.710267768370247,6.739761235797564,6.391808384728491,16.35652872897592
MB,2021,B1,B1,M,contemporary,13.435183501449647,9.561051708297226,8.92199412666436,4.760278287013314,4.359415313844979,13.382249582384317
MB,2021,B1,C1,M,contemporary,10.970326661528265,7.13266498540512,6.283391607415847,2.4921193586267947,2.105040955826901,10.883410645410772
MB,2021,B1,D1,M,contemporary,9.842685367699994,6.500303321823563,5.5799468025308085,1.9901933460659251,1.7705972953960882,9.782523477531258
MS,2021,B1,A1,M,contemporary,14.304656462741372,10.228263611681509,9.471575430986482,4.93812866896049,4.5649677684290815,13.153024002262306
MS,2021,B1,B1,M,contemporary,11.259501024821718,7.482963293271975,6.912840356671079,3.2392158776002757,2.8556860867534066,10.83537528088176
MS,2021,B1,Eldo,M,contemporary,16.798712526767932,13.126702755538586,12.11003611913877,7.108708400004694,6.941733553762352,15.092788816455565
MB,2022,B1,A1,F,contemporary,13.79355592234167,10.437800149126769,9.680487049186869,5.375862310134811,5.155320818484413,17.275495038238702
MB,2022,B1,B1,F,contemporary,10.870776300742449,7.674580272661932,7.124993771963818,3.6095826864430833,3.344255648265769,11.910812585534106
MB,2022,B1,C1,F,contemporary,8.90165885908193,5.556026790826569,4.84807264460243,1.613999248566325,1.2938816956683363,9.271301653894692
MB,2022,B1,D1,F,contemporary,7.830145833941536,4.932845289742845,4.18441756294947,1.19457811652701,1.0027483349745883,8.032655125525997
MS,2022,B1,A1,F,contemporary,22.74871693955444,16.65490195232752,15.406050965252769,8.40434369700639,8.012906912852568,23.622300796479166
MS,2022,B1,B1,F,contemporary,17.579774375752343,12.098450781386717,11.214507592048033,5.688502148912781,5.269084046021996,18.262910016480138
MS,2022,B1,Eldo,F,contemporary,27.312706910314684,21.54775977454184,19.870312634946572,11.939779156851012,11.870576546774661,28.24933948681773
MB,2022,B1,A1,M,contemporary,16.07043306660443,12.237290217197161,11.367178745645216,6.440739637441228,6.197860813460659,15.915718491680307
MB,2022,B1,B1,M,contemporary,12.716732955491329,9.069213797385071,8.43707983703558,4.413497107183177,4.118374415470975,12.730039432096033
MB,2022,B1,C1,M,contemporary,10.441299541646249,6.623910230210982,5.810505636408657,2.1048695815678395,1.7475113661143253,10.385407812873218
MB,2022,B1,D1,M,contemporary,9.21640690902203,5.911994148129164,5.05206462211366,1.6254656120023352,1.415116853492509,9.177940812755317
MS,2022,B1,A1,M,contemporary,13.862552411978044,9.929299291254777,9.137688676830507,4.654901987404064,4.38028051397404,12.787642751411568
MS,2022,B1,B1,M,contemporary,10.56556617508578,7.02470981413678,6.466726483418185,2.933723609862455,2.64453249049004,10.21539469026168
MS,2022,B1,Eldo,M,contemporary,16.759806490657645,13.043446363249629,11.976985305051496,6.895727976230657,6.827080259536561,15.004594396150468
MB,2023,B1,A1,F,contemporary,11.606829573128806,8.252020120771693,7.738509403327632,4.07242135490051,3.7128414643015133,14.019963699187645
MB,2023,B1,B1,F,contemporary,9.236843791447965,6.087715116964194,5.720793346215673,2.7123428498030275,2.361077614802422,9.819404649453688
MB,2023,B1,C1,F,contemporary,7.742872071659424,4.636416500674108,4.105836989556624,1.2110940988365868,0.9361078034458892,7.915962119686567
MB,2023,B1,D1,F,contemporary,6.6267877884241635,4.032288555019562,3.4593409732204696,0.8808097243602078,0.7065048592223501,6.8341127024745045
MS,2023,B1,A1,F,contemporary,19.11899970969671,13.229563774874103,12.378371529743495,6.488762240011663,5.926100700276711,19.899103057920364
MS,2023,B1,B1,F,contemporary,14.93319414915828,9.678466413466493,9.081060334074495,4.40071216096507,3.885256914623292,15.415800436258056
MS,2023,B1,Eldo,F,contemporary,22.863907453167748,17.168645373527305,16.029703348998456,9.465552920079233,9.03285710547605,23.590926906121307
MB,2023,B1,A1,M,contemporary,13.559653331345608,9.727523715511378,9.136734882334556,4.9390028483574016,4.535785547454563,13.435785181326645
MB,2023,B1,B1,M,contemporary,10.838996911957807,7.2439416663298974,6.821332737918955,3.375811122540136,2.9806059038739376,10.850399978062859
MB,2023,B1,C1,M,contemporary,9.10808973090034,5.562833378596793,4.952269691676306,1.6329978904600573,1.3263783964683977,9.07061146221382
MB,2023,B1,D1,M,contemporary,7.831764632807954,4.872589883501354,4.2128803569901585,1.2550760354933923,1.0640721666261386,7.798226274541177
MS,2023,B1,A1,M,contemporary,11.557078676688167,7.7591837850868854,7.221466596113149,3.457310848136885,3.0771702859457886,10.723058756435206
MS,2023,B1,B1,M,contemporary,8.890412372966843,5.5012453633781675,5.125337789177085,2.1394163945315934,1.793871250173901,8.663596067423423
MS,2023,B1,Eldo,M,contemporary,13.92758291718259,10.257804176686395,9.536436083685997,5.337060813063771,5.037983259799018,12.523007573364557
MB,2024,B1,A1,F,contemporary,14.756116958384956,11.28175614223539,10.509804550813591,5.97652000561736,5.70405032792674,18.591021774906388
MB,2024,B1,B1,F,contemporary,11.55930760916145,8.305542141261226,7.71729191944557,4.084396074214989,3.7892701923466596,12.700724435701247
MB,2024,B1,C1,F,contemporary,9.656445482986214,6.083097085893946,5.409529528876984,1.9053899120175914,1.5591135791921031,10.097794091432435
MB,2024,B1,D1,F,contemporary,8.317660980722543,5.3102664977046325,4.573899979469077,1.384222825110033,1.1887537131551966,8.730509569917546
MS,2024,B1,A1,F,contemporary,24.47774830015914,18.09580377840586,16.8033992023061,9.354157396280229,8.867455409237781,25.448909317301627
MS,2024,B1,B1,F,contemporary,18.760355369489922,13.127701710452001,12.173659580579535,6.415916266018316,5.93920299671756,19.340430244459142
MS,2024,B1,Eldo,F,contemporary,29.072155069479713,23.328605450854514,21.56200517754019,13.074221552765717,13.028611588523432,30.134225734512412
MB,2024,B1,A1,M,contemporary,17.17357847083118,13.202884326873788,12.315401027463977,7.1272808323369885,6.82571991234965,16.933411012159805
MB,2024,B1,B1,M,contemporary,13.505239906054195,9.791239693782533,9.11445678212377,4.9566044647163325,4.628089661964883,13.459586249791593
