species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg
MB,1950,D1,C1,M,historical,15.330873957191505,10.294387910474608,11.24336011800763,6.786561934730835,3.09254593008203
MB,1950,D1,D1,M,historical,11.290013172492866,6.831850327069475,7.335138783596457,3.8068960000243246,1.499774978533435
MB,1951,D1,A1,F,historical,13.778781172371644,10.259563611012489,10.741574477388104,7.280471353007827,4.837120492884163
MB,1951,D1,B1,F,historical,10.869116775670243,7.4368443772329504,7.640293295037929,4.717998365448111,3.203222748476276
MB,1951,D1,C1,F,historical,12.372232794568431,8.190186352844211,8.877614997501817,5.331231340312883,2.608394391533127
MB,1951,D1,D1,F,historical,8.535085683556064,5.5990251959951784,5.869222038928345,3.169338409505032,1.4994271691429724
MB,1951,D1,A1,M,historical,16.046307711249877,11.981042273580819,12.532402601344522,8.561626343022638,5.770742546618538
MB,1951,D1,B1,M,historical,12.676760264102896,8.74134445318258,8.97215082300151,5.624629912793685,3.8971724583766516
MB,1951,D1,C1,M,historical,14.414256888272998,9.590653651919553,10.377436015305028,6.310329932497396,3.199201599278574
MB,1951,D1,D1,M,historical,10.004870083768717,6.621687866514203,6.929773246284586,3.8313526362629537,1.9249231470150567
MB,1952,D1,A1,F,historical,14.400876066082379,12.294592716097895,12.30592676744204,9.030611582182296,6.7528305504781745
MB,1952,D1,B1,F,historical,11.871387843153835,9.453277455888045,9.348369556748244,6.372873853084715,4.753866334952758
MB,1952,D1,C1,F,historical,12.824058555168579,9.656059982847541,10.23927113064113,6.707259164917591,3.543816719642977
MB,1952,D1,D1,F,historical,9.812898493073918,6.838165778622518,7.151383598589539,4.181631962794066,2.0231124989985294
MB,1952,D1,A1,M,historical,16.82327974993842,14.335818222971813,14.35493459360412,10.582322295276228,7.973786902072243
MB,1952,D1,B1,M,historical,13.870265320401401,11.065570336969698,10.94842970559765,7.532019578953728,5.682867804698196
MB,1952,D1,C1,M,historical,14.985521362958684,11.283297277023996,11.954991222777018,7.896038245827168,4.27769778567712
MB,1952,D1,D1,M,historical,11.491029862122263,8.048841995627456,8.407893426838875,4.999448554250333,2.535005463906817
MB,1953,D1,A1,F,historical,14.851111562791486,11.714279051829633,11.940206121776955,8.180146183233745,5.984055617759588
MB,1953,D1,B1,F,historical,12.216600889559464,8.866200518726478,8.890743655260168,5.54122573610172,4.11786498218844
MB,1953,D1,C1,F,historical,13.034679465226219,9.112914728097552,9.721194342160192,5.945298562743877,3.1502583743318437
MB,1953,D1,D1,F,historical,9.167794255340066,6.133335713854354,6.31979754397986,3.3398880988130912,1.6899426690713966
MB,1953,D1,A1,M,historical,17.284001591204024,13.65613348303271,13.913542590302066,9.598505219424634,7.09264323378424
MB,1953,D1,B1,M,historical,14.226596205875934,10.385627605453825,10.4106978264842,6.574347757794508,4.953961346893887
MB,1953,D1,C1,M,historical,15.186660658556065,10.655063287122625,11.351786230752463,7.019612745005829,3.8270193798687386
MB,1953,D1,D1,M,historical,10.73243376360419,7.240261276496998,7.452087603858294,4.034688952213624,2.1528339308105418
MB,1954,D1,A1,F,historical,14.967210682612436,12.593504170937242,12.563018965255798,8.837357686044308,6.97112019045829
MB,1954,D1,B1,F,historical,12.380737678981951,9.736877743949549,9.550782197033213,6.294073504310216,5.063357890546863
MB,1954,D1,C1,F,historical,13.155652101215445,9.741104199010337,10.214233861535813,6.455913291890951,3.712226788104504
MB,1954,D1,D1,F,historical,9.58270743826056,6.80549043067967,6.900028696129132,3.915356836087745,2.238412233251389
MB,1954,D1,A1,M,historical,17.432116733008126,14.669907408007266,14.633030985542284,10.353668284653835,8.224753293834084
MB,1954,D1,B1,M,historical,14.429979046467478,11.38831269383452,11.171761709788703,7.438561183195231,6.038354278706025
MB,1954,D1,C1,M,historical,15.33772266968511,11.378878838704416,11.920719639038087,7.606032031603231,4.472589959827178
MB,1954,D1,D1,M,historical,11.217720706721547,8.014197362813311,8.120234853705458,4.695097674374375,2.7830600334386335
MB,1955,D1,A1,F,historical,14.787866229600647,11.317943316656034,11.530434155783414,7.793586346203406,5.702347013466843
MB,1955,D1,B1,F,historical,11.96215345914945,8.590808693750457,8.630845808013378,5.4399122722776925,4.003221411432566
MB,1955,D1,C1,F,historical,12.466207372698971,8.213198434356908,8.777518364379434,5.152650024932355,2.663495164541167
MB,1955,D1,D1,F,historical,9.837481467361815,6.3721811004874604,6.666611750135343,3.5356938222947463,1.6590752631491499
MB,1955,D1,A1,M,historical,17.197623263958107,13.197440347992632,13.439152641055122,9.153913173085957,6.767917565194813
MB,1955,D1,B1,M,historical,13.933796396531312,10.068309237821774,10.111270224306155,6.456593343176504,4.820010544919252
MB,1955,D1,C1,M,historical,14.514965277003846,9.620132927275515,10.265483914735222,6.1100186176995654,3.2675764757128003
MB,1955,D1,D1,M,historical,11.496057834267726,7.510440082223053,7.845897737246382,4.2564366717372115,2.1153199696849367
MB,1956,D1,A1,F,historical,14.87811397224542,11.683777765369424,11.895636105745787,8.004490051093498,5.743779517826124
MB,1956,D1,B1,F,historical,12.020928735680329,8.642862011188065,8.6447363826999,5.234190080833024,3.791451374825944
