species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg,shade_NA_h_NA
MB,1958,A1,D1,F,historical,13.2199481,9.410270087,9.738303975,5.882188756,3.319054092,19.01239674
MS,1958,A1,A1,F,historical,27.60392833,18.17720631,19.14917691,11.72105587,7.237121551,27.42402815
MS,1958,A1,B1,F,historical,20.17178477,12.48093833,12.86889588,7.248032909,4.522550635,21.01683536
MS,1958,A1,Eldo,F,historical,27.95434679,20.91548493,21.71450587,14.2629969,9.446561934,28.89964786
MB,1958,A1,A1,M,historical,22.10158875,17.81959512,18.32269054,13.55174381,10.08103304,21.75232878
MB,1958,A1,B1,M,historical,18.47011432,13.99653504,14.21460213,9.782141332,7.370477563,18.32282317
MB,1958,A1,C1,M,historical,20.47003635,14.95412112,15.891366,10.67531372,6.239900163,20.22462731
MB,1958,A1,D1,M,historical,15.44446211,11.04552982,11.41998203,6.993534003,4.06890847,15.47099481
MS,1958,A1,A1,M,historical,16.74822029,10.7812752,11.40702015,6.6844633,3.80544095,13.00242977
MS,1958,A1,B1,M,historical,12.07557939,7.166677673,7.422916416,3.849781502,2.09441025,10.47255686
MS,1958,A1,Eldo,M,historical,16.86047973,12.49466163,13.00568314,8.282933212,5.193393362,13.63261724
MB,1959,A1,A1,F,historical,19.23252395,15.88418466,16.34593019,12.19641227,8.96420035,32.13550623
MB,1959,A1,B1,F,historical,16.28515922,12.50994178,12.78319037,8.843862993,6.429186179,23.28344385
MB,1959,A1,C1,F,historical,17.38324179,12.97236888,13.92329922,9.467473559,5.123076516,28.63954292
MB,1959,A1,D1,F,historical,13.06198867,9.290435425,9.763646932,5.961522239,3.081338928,18.96682942
MS,1959,A1,A1,F,historical,28.63027259,19.33488079,20.47154733,12.66405505,7.668982212,28.16004116
MS,1959,A1,B1,F,historical,21.6768875,13.45390383,14.06628688,7.972678085,4.72154178,22.1185946
MS,1959,A1,Eldo,F,historical,29.23770514,21.77406705,22.69072863,14.85201699,9.769675914,29.99798213
MB,1959,A1,A1,M,historical,22.41130815,18.49971001,19.03117805,14.25362716,10.5579635,22.14135268
MB,1959,A1,B1,M,historical,18.97119426,14.61649706,14.9278372,10.40794837,7.653472471,18.73995472
MB,1959,A1,C1,M,historical,20.27263563,15.13436854,16.22856296,11.10358783,6.137204229,20.37203365
MB,1959,A1,D1,M,historical,15.28015681,10.91312765,11.45552243,7.087886723,3.799236246,15.67252179
MS,1959,A1,A1,M,historical,17.36124833,11.50684682,12.23644004,7.275336061,4.069296609,13.22557976
MS,1959,A1,B1,M,historical,13.01368603,7.777960994,8.177248736,4.302698866,2.210150578,10.73227979
MS,1959,A1,Eldo,M,historical,17.66166214,13.02862841,13.6137547,8.645931247,5.386228833,14.06280684
MB,2015,A1,A1,F,contemporary,19.5437139,16.35306109,16.5363428,12.35160049,9.684446925,31.64068791
MB,2015,A1,B1,F,contemporary,16.90748279,13.34107164,13.35901398,9.371548304,7.354136873,23.8262915
MB,2015,A1,C1,F,contemporary,17.33172582,13.01863087,13.61853644,9.141320352,5.605467092,27.53091074
MB,2015,A1,D1,F,contemporary,13.61131115,9.825893153,10.01604639,6.062020128,3.702215322,18.76795639
MS,2015,A1,A1,F,contemporary,28.51864976,19.73917866,20.34416058,12.75954207,8.505932843,28.54949373
MS,2015,A1,B1,F,contemporary,22.27008486,14.46448422,14.65488356,8.608339603,5.750105072,22.88704198
MS,2015,A1,Eldo,F,contemporary,28.8080119,21.93394988,22.29393825,14.64525834,10.5293009,29.51456704
MB,2015,A1,A1,M,contemporary,22.75940943,19.04091605,19.25097031,14.43662821,11.38852201,22.58506901
MB,2015,A1,B1,M,contemporary,19.68560373,15.57437822,15.59217754,11.01849933,8.718245719,19.54696286
MB,2015,A1,C1,M,contemporary,20.19168703,15.18942664,15.87812082,10.73356667,6.694690845,20.07452929
MB,2015,A1,D1,M,contemporary,15.89194948,11.52686975,11.74300023,7.206594303,4.515680196,15.91670396
MS,2015,A1,A1,M,contemporary,17.29554788,11.74821838,12.14161405,7.320824181,4.584701637,13.48802694
MS,2015,A1,B1,M,contemporary,13.38048372,8.40358335,8.535277792,4.690361369,2.845762616,11.24978335
MS,2015,A1,Eldo,M,contemporary,17.40534884,13.11796871,13.35217484,8.50048718,5.853388476,14.00530556
MB,2016,A1,A1,F,contemporary,19.84762841,17.29655124,17.29782311,13.06001835,10.7266394,33.22554397
MB,2016,A1,B1,F,contemporary,17.28373839,14.19474296,14.01904243,9.886784511,8.238449429,24.46490602
MB,2016,A1,C1,F,contemporary,17.79238213,14.15285357,14.66831519,10.15678837,6.56171821,29.42290403
MB,2016,A1,D1,F,contemporary,14.275203,10.71207918,10.8131966,6.692742377,4.316502208,20.36935888
MS,2016,A1,A1,F,contemporary,29.34371024,21.5907092,21.93247241,13.90178556,9.860079876,29.35630327
MS,2016,A1,B1,F,contemporary,22.92523283,15.82235438,15.70912038,9.303455093,6.793512651,23.92682355
MS,2016,A1,Eldo,F,contemporary,29.16880194,23.17245486,23.13887068,15.38367148,11.82754331,30.51458633
MB,2016,A1,A1,M,contemporary,23.1288121,20.13207697,20.13338012,15.25181776,12.58358188,23.18265871
MB,2016,A1,B1,M,contemporary,20.12782513,16.55808451,16.3533792,11.61125636,9.731920385,20.20990082
MB,2016,A1,C1,M,contemporary,20.75217875,16.49790428,17.09153225,11.89951504,7.789853507,20.88005922
MB,2016,A1,D1,M,contemporary,16.66257567,12.54383521,12.65796277,7.9292276,5.219267527,16.74794381
MS,2016,A1,A1,M,contemporary,17.78192772,12.91548534,13.14178294,8.042781087,5.440920462,13.88836944
MS,2016,A1,B1,M,contemporary,13.77501318,9.258215155,9.197487842,5.126142451,3.50328783,11.7691451
MS,2016,A1,Eldo,M,contemporary,17.6142771,13.89297566,13.87843183,8.964804883,6.674185332,14.5373244
MB,2017,A1,A1,F,contemporary,19.75102399,16.11259873,16.3879706,12.09350221,9.378254464,30.97956115
MB,2017,A1,B1,F,contemporary,17.06662256,13.16484587,13.28456386,9.186461019,7.077770235,22.67493838
MB,2017,A1,C1,F,contemporary,17.358274,12.82346715,13.46885385,8.942031005,5.382515477,26.631015
MB,2017,A1,D1,F,contemporary,14.8757133,10.8282429,11.18502043,6.922747245,4.007061589,21.46776654
MS,2017,A1,A1,F,contemporary,28.32686486,18.97616903,19.67089377,12.12136614,8.036697443,28.56358601
MS,2017,A1,B1,F,contemporary,21.97096274,13.93373841,14.24638636,8.153336572,5.352484425,22.8145696
MS,2017,A1,Eldo,F,contemporary,28.76364046,21.20456727,21.57652274,13.94376222,10.13408888,29.49485674
MB,2017,A1,A1,M,contemporary,22.98052783,18.76061343,19.07568711,14.13910687,11.03749868,22.68783383
MB,2017,A1,B1,M,contemporary,19.85886004,15.36972828,15.50413333,10.80525662,8.401456104,19.73376254
MB,2017,A1,C1,M,contemporary,20.21740606,14.96529955,15.70622076,10.50676146,6.440516844,20.19100088
MB,2017,A1,D1,M,contemporary,17.35416182,12.67601978,13.08430665,8.192254477,4.864900494,17.32378704
MS,2017,A1,A1,M,contemporary,17.19887682,11.26342799,11.71403282,6.912277438,4.285794596,13.53567271
